"Latitude","Longitude","UTC","Pollutant","AQI","Category","Location","ReportingAgency","StationID","FullStationID"
"42.984699","-85.671097","2021-10-20T20:00","PM2.5","40","1","GRAND RAPIDS","Michigan Department of Environment, Great Lakes, and Energy","260810020","840260810020"
"42.984699","-85.671097","2021-10-20T20:00","PM10","27","1","GRAND RAPIDS","Michigan Department of Environment, Great Lakes, and Energy","260810020","840260810020"
"38.2286","-85.6544","2021-10-20T20:00","PM2.5","47","1","Cannons Lane","Louisville Metro Air Pollution Control District ","211110067","840211110067"
"38.2286","-85.6544","2021-10-20T20:00","PM10","21","1","Cannons Lane","Louisville Metro Air Pollution Control District ","211110067","840211110067"
"40.125557","-85.652222","2021-10-20T20:00","PM2.5","40","1","Anderson-Eastside Elem. Sch","Indiana Dept. of Environmental Management","180950011","840180950011"
"41.169722","-85.629444","2021-10-20T20:00","PM2.5","39","1","Larwill","Indiana Dept. of Environmental Management","181830003","840181830003"
"30.8475","-85.6044","2021-10-20T20:00","PM2.5","33","1","Bonifay","Florida Dept. of Environmental Protection","120590004","840120590004"
"38.1825","-85.5744","2021-10-20T20:00","PM2.5","52","2","Carrithers Middle School","Louisville Metro Air Pollution Control District ","211110080","840211110080"
"38.1825","-85.5744","2021-10-20T20:00","PM10","21","1","Carrithers Middle School","Louisville Metro Air Pollution Control District ","211110080","840211110080"
"42.2781","-85.5419","2021-10-20T20:00","PM2.5","40","1","KALAMAZOO","Michigan Department of Environment, Great Lakes, and Energy","260770008","840260770008"
"36.1857","-85.4921","2021-10-20T20:00","PM2.5","36","1","Cookeville","Tennessee Air Pollution Control Div.","471410005","840471410005"
"34.9784","-85.2943","2021-10-20T20:00","PM2.5","54","2","Rossville-Williams St","Georgia Department of Natural Resources","840132950004","840132950004"
"34.9784","-85.2943","2021-10-20T20:00","PM10","25","1","Rossville-Williams St","Georgia Department of Natural Resources","840132950004","840132950004"
"35.0508","-85.2931","2021-10-20T20:00","PM2.5","59","2","Riverside","Chattanooga-Hamilton County Air Pollution Control Bureau","470654002","840470654002"
"32.5214","-84.9436","2021-10-20T20:00","PM2.5","18","1","Columbus Airport","Georgia Department of Natural Resources","132150008","840132150008"
"44.3106","-84.891899","2021-10-20T20:00","PM2.5","43","1","HOUGHTON LAKE","Michigan Department of Environment, Great Lakes, and Energy","261130001","840261130001"
"39.83562","-84.72049","2021-10-20T20:00","PM2.5","31","1","Preble NCore","Ohio EPA-DAPC","391351001","840391351001"
"39.21494","-84.69086","2021-10-20T20:00","PM2.5","30","1","Colerain","Ohio EPA-DAPC","390610010","840390610010"
"37.097801","-84.611702","2021-10-20T20:00","PM2.5","46","1","SOMERST","Kentucky DEP","211990003","840211990003"
"35.4511","-84.5992","2021-10-20T20:00","PM2.5","45","1","ATHENS","Tennessee Air Pollution Control Div.","471071002","840471071002"
"42.76138","-84.562867","2021-10-20T20:00","PM2.5","35","1","LANSING","Michigan Department of Environment, Great Lakes, and Energy","260650018","840260650018"
"39.10492","-84.55117","2021-10-20T20:00","PM2.5","45","1","Lower Price Hill","Ohio EPA-DAPC","840390610042","840390610042"
"35.9386","-84.5439","2021-10-20T20:00","PM2.5","47","1","Harriman","Tennessee Air Pollution Control Div.","471450004","840471450004"
"39.146025","-84.538375","2021-10-20T20:00","PM2.5","43","1","Cincinnati Near Road","Ohio EPA-DAPC","390610048","840390610048"
"38.065","-84.5","2021-10-20T20:00","PM2.5","54","2","NEWTWN","Kentucky DEP","210670012","840210670012"
"39.194331","-84.478974","2021-10-20T20:00","PM2.5","42","1","Carthage","Ohio EPA-DAPC","840390610014","840390610014"
"39.2787","-84.36612","2021-10-20T20:00","PM2.5","77","2","Sycamore","Ohio EPA-DAPC","390610006","840390610006"
"33.7206","-84.3578","2021-10-20T20:00","PM2.5","35","1","United Ave","Georgia Department of Natural Resources","131210055","840131210055"
